,Model_id,Model_name,To_state_id,To_state_name,Sex_state_id,Race_state_id,Age,Probability
318,6.0,Physical activity,39.0,Active,35.0,31.0,57.0,0.28300000000000003
319,6.0,Physical activity,39.0,Active,35.0,31.0,58.0,0.28300000000000003
320,6.0,Physical activity,39.0,Active,35.0,31.0,59.0,0.28300000000000003
321,6.0,Physical activity,39.0,Active,35.0,31.0,60.0,0.28300000000000003
322,6.0,Physical activity,39.0,Active,35.0,31.0,61.0,0.28300000000000003
323,6.0,Physical activity,39.0,Active,35.0,31.0,62.0,0.28300000000000003
324,6.0,Physical activity,39.0,Active,35.0,31.0,63.0,0.28300000000000003
325,6.0,Physical activity,39.0,Active,35.0,31.0,64.0,0.28300000000000003
326,6.0,Physical activity,39.0,Active,35.0,31.0,65.0,0.23199999999999998
327,6.0,Physical activity,39.0,Active,35.0,31.0,66.0,0.23199999999999998
328,6.0,Physical activity,39.0,Active,35.0,31.0,67.0,0.23199999999999998
329,6.0,Physical activity,39.0,Active,35.0,31.0,68.0,0.23199999999999998
330,6.0,Physical activity,39.0,Active,35.0,31.0,69.0,0.23199999999999998
331,6.0,Physical activity,39.0,Active,35.0,31.0,70.0,0.23199999999999998
332,6.0,Physical activity,39.0,Active,35.0,31.0,71.0,0.23199999999999998
333,6.0,Physical activity,39.0,Active,35.0,31.0,72.0,0.23199999999999998
334,6.0,Physical activity,39.0,Active,35.0,31.0,73.0,0.23199999999999998
335,6.0,Physical activity,39.0,Active,35.0,31.0,74.0,0.23199999999999998
336,6.0,Physical activity,39.0,Active,35.0,31.0,75.0,0.147
337,6.0,Physical activity,39.0,Active,35.0,31.0,76.0,0.147
338,6.0,Physical activity,39.0,Active,35.0,31.0,77.0,0.147
339,6.0,Physical activity,39.0,Active,35.0,31.0,78.0,0.147
340,6.0,Physical activity,39.0,Active,35.0,31.0,79.0,0.147
341,6.0,Physical activity,39.0,Active,35.0,31.0,80.0,0.147
342,6.0,Physical activity,39.0,Active,35.0,31.0,81.0,0.147
343,6.0,Physical activity,39.0,Active,35.0,31.0,82.0,0.147
344,6.0,Physical activity,39.0,Active,35.0,31.0,83.0,0.147
345,6.0,Physical activity,39.0,Active,35.0,31.0,84.0,0.147
346,6.0,Physical activity,39.0,Active,35.0,31.0,85.0,0.147
347,6.0,Physical activity,39.0,Active,35.0,31.0,86.0,0.147
348,6.0,Physical activity,39.0,Active,35.0,31.0,87.0,0.147
349,6.0,Physical activity,39.0,Active,35.0,31.0,88.0,0.147
350,6.0,Physical activity,39.0,Active,35.0,31.0,89.0,0.147
351,6.0,Physical activity,39.0,Active,35.0,31.0,90.0,0.147
352,6.0,Physical activity,39.0,Active,35.0,31.0,91.0,0.147
353,6.0,Physical activity,39.0,Active,35.0,31.0,92.0,0.147
354,6.0,Physical activity,39.0,Active,35.0,31.0,93.0,0.147
355,6.0,Physical activity,39.0,Active,35.0,31.0,94.0,0.147
356,6.0,Physical activity,39.0,Active,35.0,31.0,95.0,0.147
357,6.0,Physical activity,39.0,Active,35.0,31.0,96.0,0.147
358,6.0,Physical activity,39.0,Active,35.0,31.0,97.0,0.147
359,6.0,Physical activity,39.0,Active,35.0,31.0,98.0,0.147
360,6.0,Physical activity,39.0,Active,35.0,31.0,99.0,0.147
361,6.0,Physical activity,39.0,Active,35.0,31.0,100.0,0.147
362,6.0,Physical activity,39.0,Active,35.0,31.0,101.0,0.147
